ISSUE DATE,ISSUE TIME,FINE AMOUNT,TICKET LOCATION STREET,VIOLATION DESCRIPTION
1/4/2015,2:08,$45.00,0,RESERVED SPACE
1/5/2015,10:38,$20.00,13TH AVE METERS,OVERTIME STREET MTR
1/5/2015,10:39,$20.00,13TH AVE METERS,OVERTIME STREET MTR
1/5/2015,12:26,$30.00,15TH AVE,NO PERMIT DISPLAYED
1/5/2015,12:27,$30.00,15TH AVE,NO PERMIT DISPLAYED
1/5/2015,12:29,$30.00,15TH AVE,NO PERMIT DISPLAYED
1/5/2015,12:31,$30.00,15TH AVE,NO PERMIT DISPLAYED
1/5/2015,12:32,$35.00,15TH AVE,RESTRICTED AREA
1/5/2015,12:33,$30.00,15TH AVE,NO PERMIT DISPLAYED
1/5/2015,12:36,$20.00,15TH AVE,OVERTIME LOT METER
1/5/2015,12:37,$20.00,15TH AVE,OVERTIME LOT METER
1/5/2015,12:41,$20.00,15TH AVE,OVERTIME LOT METER
1/5/2015,14:14,$30.00,1715 FRANKLIN,NO PERMIT DISPLAYED
1/5/2015,15:05,$0.00,CARSON HALL,WARNING/NO CHARGE
1/5/2015,8:49,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER
1/5/2015,8:50,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER
1/5/2015,8:01,$30.00,LOT 16A - FAC/STAFF LOT,NO PERMIT DISPLAYED
1/5/2015,8:03,$30.00,LOT 16A - FAC/STAFF LOT,NO PERMIT DISPLAYED
1/5/2015,8:06,$30.00,LOT 16A - FAC/STAFF LOT,NO PERMIT DISPLAYED
1/5/2015,8:07,$30.00,LOT 16A - FAC/STAFF LOT,NO PERMIT DISPLAYED
1/5/2015,16:28,$30.00,LOT 16A - FAC/STAFF LOT,NO PERMIT DISPLAYED
1/5/2015,16:31,$30.00,LOT 16A - FAC/STAFF LOT,NO PERMIT DISPLAYED
1/5/2015,16:33,$30.00,LOT 16A - FAC/STAFF LOT,NO PERMIT DISPLAYED
1/5/2015,16:34,$30.00,LOT 16A - FAC/STAFF LOT,NO PERMIT DISPLAYED
1/5/2015,8:23,$35.00,LOT 17 - HEDCO,RESTRICTED AREA
1/5/2015,11:21,$20.00,LOT 17 - HEDCO,OVERTIME LOT METER
1/5/2015,11:22,$30.00,LOT 17 - HEDCO,NO PERMIT DISPLAYED
1/5/2015,11:22,$20.00,LOT 17 - HEDCO,OVERTIME LOT METER
1/5/2015,17:00,$30.00,LOT 17 - HEDCO,NO PERMIT DISPLAYED
1/5/2015,17:02,$30.00,LOT 17 - HEDCO,NO PERMIT DISPLAYED
1/5/2015,17:03,$30.00,LOT 17 - HEDCO,NO PERMIT DISPLAYED
1/5/2015,11:29,$0.00,LOT 18 - EDUCATION,WARNING/NO CHARGE
1/5/2015,10:33,$20.00,LOT 29A - EMU VIS LOT,OVERTIME LOT METER
1/5/2015,10:35,$20.00,LOT 29A - EMU VIS LOT,OVERTIME LOT METER
1/5/2015,10:37,$20.00,LOT 29A - EMU VIS LOT,OVERTIME LOT METER
1/5/2015,17:31,$30.00,LOT 30 - MCCT,NO PERMIT DISPLAYED
1/5/2015,17:33,$30.00,LOT 30 - MCCT,NO PERMIT DISPLAYED
1/5/2015,17:35,$30.00,LOT 30 - MCCT,NO PERMIT DISPLAYED
1/5/2015,12:23,$35.00,LOT 31 - BOWERMAN BLDG,RESTRICTED AREA
1/5/2015,13:38,$30.00,LOT 33 - BEAN EAST,NO PERMIT DISPLAYED
1/5/2015,13:39,$30.00,LOT 33 - BEAN EAST,NO PERMIT DISPLAYED
1/5/2015,13:41,$30.00,LOT 33 - BEAN EAST,NO PERMIT DISPLAYED
1/5/2015,11:42,$30.00,LOT 3A - AAA AREA,NO PERMIT DISPLAYED
1/5/2015,8:40,$30.00,LOT 3B - MNH,NO PERMIT DISPLAYED
1/5/2015,8:41,$35.00,LOT 3B - MNH,SERVICE VEHICLE ONLY
1/5/2015,8:13,$30.00,LOT 42 - 12TH W OF KIN,NO PERMIT DISPLAYED
1/5/2015,11:08,$30.00,LOT 42 - 12TH W OF KIN,NO PERMIT DISPLAYED
1/5/2015,16:22,$30.00,LOT 42 - 12TH W OF KIN,NO PERMIT DISPLAYED
1/5/2015,13:44,$35.00,LOT 44 - GRAD VILLAGE,RESTRICTED AREA
1/5/2015,16:03,$30.00,LOT 50 - BARNHART,NO PERMIT DISPLAYED
1/5/2015,16:05,$30.00,LOT 50 - BARNHART,NO PERMIT DISPLAYED
1/5/2015,16:07,$30.00,LOT 50 - BARNHART,NO PERMIT DISPLAYED
1/5/2015,16:11,$30.00,LOT 50 - BARNHART,NO PERMIT DISPLAYED
1/5/2015,16:13,$30.00,LOT 50 - BARNHART,NO PERMIT DISPLAYED
1/5/2015,10:01,$100.00,LOT 52 - UOPD EAST,MISUSE OF PERMIT
1/5/2015,13:25,$35.00,LOT 55 - MOSS ST,RESTRICTED AREA
1/5/2015,13:28,$100.00,LOT 55 - MOSS ST,MISUSE OF PERMIT
1/5/2015,11:47,$30.00,LOT 56 - MILLRACE,NO PERMIT DISPLAYED
1/5/2015,11:37,$35.00,LOT 5A,NO PARKING ZONE
1/5/2015,10:11,$45.00,SPENCER VIEW APTS,RESERVED SPACE
1/5/2015,14:37,$20.00,UNIVERSITY,30 MINUTE ONLY ZONE
1/5/2015,8:30,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/5/2015,10:07,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/5/2015,10:19,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/5/2015,10:23,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/5/2015,10:40,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/5/2015,10:41,$50.00,UNIVERSITY ST METERS,BOOT FEE
1/5/2015,12:53,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/5/2015,14:37,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/5/2015,14:38,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/5/2015,14:40,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/5/2015,14:41,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/5/2015,14:41,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/5/2015,14:43,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/5/2015,17:14,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/5/2015,17:16,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/5/2015,17:18,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/5/2015,17:19,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/5/2015,17:20,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/5/2015,17:21,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/5/2015,17:23,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/5/2015,17:25,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/5/2015,17:26,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/5/2015,17:28,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/6/2015,12:32,$20.00,13TH AVE METERS,OVERTIME STREET MTR
1/6/2015,7:22,$20.00,15TH AVE,OVERTIME STREET MTR
1/6/2015,7:24,$20.00,15TH AVE,OVERTIME STREET MTR
1/6/2015,7:26,$20.00,15TH AVE,OVERTIME STREET MTR
1/6/2015,7:27,$20.00,15TH AVE,OVERTIME STREET MTR
1/6/2015,7:28,$20.00,15TH AVE,OVERTIME STREET MTR
1/6/2015,7:30,$20.00,15TH AVE,OVERTIME STREET MTR
1/6/2015,7:31,$20.00,15TH AVE,OVERTIME STREET MTR
1/6/2015,7:36,$30.00,15TH AVE,NO PERMIT DISPLAYED
1/6/2015,10:07,$20.00,15TH AVE,OVERTIME LOT METER
1/6/2015,10:14,$20.00,15TH AVE,OVERTIME STREET MTR
1/6/2015,14:42,$35.00,15TH AVE,AREA NOT DESIGNATED
1/6/2015,14:43,$20.00,15TH AVE,OVERTIME LOT METER
1/6/2015,15:05,$45.00,15TH AVE,RESERVED SPACE
1/6/2015,15:06,$45.00,15TH AVE,RESERVED SPACE
1/6/2015,11:52,$30.00,1715 FRANKLIN,NO PERMIT DISPLAYED
1/6/2015,8:59,$20.00,LOT 13 - 13TH BEECH-UNIV,OVERTIME STREET MTR
1/6/2015,9:02,$20.00,LOT 13 - 13TH BEECH-UNIV,OVERTIME STREET MTR
1/6/2015,7:55,$30.00,LOT 16A - FAC/STAFF LOT,NO PERMIT DISPLAYED
1/6/2015,8:13,$0.00,LOT 16A - FAC/STAFF LOT,WARNING/NO CHARGE
1/6/2015,9:14,$100.00,LOT 16A - FAC/STAFF LOT,ALTERING PERMIT
1/6/2015,10:08,$30.00,LOT 16A - FAC/STAFF LOT,NO PERMIT DISPLAYED
1/6/2015,11:35,$45.00,LOT 16A - FAC/STAFF LOT,RESERVED SPACE
1/6/2015,11:35,$50.00,LOT 16A - FAC/STAFF LOT,TOWING FEE
1/6/2015,16:30,$30.00,LOT 16A - FAC/STAFF LOT,NO PERMIT DISPLAYED
